,DATE,PTS,AST,TRB,Player,Position
0,2000-10-31,0.3022470588204049,1.289403443529546,-0.3614238072589406,Allen Iverson,1
1,2000-10-31,0.4092608505602979,-0.9379225644343522,-1.0277690247755566,Vince Carter,12
2,2000-10-31,0.19523326708051197,1.9257823029478027,0.5270364827632141,Jason Kidd,8
3,2000-10-31,1.2653711844794415,0.016645724693032767,-0.3614238072589406,Karl Malone,7
4,2000-10-31,-1.1959460255380965,2.880350592075188,-1.2498840972810952,John Stockton,17
5,2000-10-31,0.08821947534061901,0.6530245841112894,0.08280633775213675,Chris Webber,4
6,2000-10-31,-0.8749046503184176,-0.9379225644343522,-1.2498840972810952,Kobe Bryant,9
7,2000-10-31,0.6232884340400838,0.016645724693032767,0.7491515552687528,Kevin Garnett,5
8,2000-10-31,0.4092608505602979,-0.9379225644343522,-0.8056539522700179,Ray Allen,11
9,2000-10-31,2.335509101878371,-0.6197331347252238,-0.5835388797644793,Jerry Stackhouse,14
10,2000-10-31,-0.6608770668386317,-1.5743014238526087,0.5270364827632141,Tim Duncan,2
11,2000-10-31,-0.018794316399273953,-1.5743014238526087,0.30492141025767544,David Robinson,10
12,2000-10-31,0.4092608505602979,0.9712140138204177,0.30492141025767544,Michael Finley,15
13,2000-10-31,1.0513436009996557,-0.30154370501609556,0.9712666277742914,Tracy McGrady,6
14,2000-11-01,0.9443298092597627,0.016645724693032767,-0.8056539522700179,Kobe Bryant,9
15,2000-11-01,0.3022470588204049,-0.30154370501609556,-0.8056539522700179,Vince Carter,12
16,2000-11-01,0.19523326708051197,0.016645724693032767,-0.5835388797644793,Allen Iverson,1
17,2000-11-01,0.4092608505602979,-1.5743014238526087,0.7491515552687528,Karl Malone,7
18,2000-11-01,0.5162746423001908,0.016645724693032767,0.08280633775213675,Chris Webber,4
19,2000-11-01,-0.1258081081391669,2.880350592075188,-1.2498840972810952,John Stockton,17
20,2000-11-01,-0.6608770668386317,-1.5743014238526087,-0.8056539522700179,Tracy McGrady,6
21,2000-11-01,-0.23282189987905988,-0.6197331347252238,-1.2498840972810952,Jerry Stackhouse,14
22,2000-11-01,-1.5169874007577755,-0.6197331347252238,-0.8056539522700179,Anthony Mason,16
23,2000-11-01,0.6232884340400838,0.016645724693032767,-0.3614238072589406,Paul Pierce,13
24,2000-11-02,-1.9450425677173473,-1.2561119941434804,-0.1393087347534019,David Robinson,10
25,2000-11-02,-0.8749046503184176,-0.9379225644343522,-0.8056539522700179,Michael Finley,15
26,2000-11-02,0.19523326708051197,-0.6197331347252238,0.30492141025767544,Tim Duncan,2
27,2000-11-02,-0.33983569161895283,-1.2561119941434804,-0.3614238072589406,Ray Allen,11
28,2000-11-02,-0.6608770668386317,2.243971732656931,-0.1393087347534019,Jason Kidd,8
29,2000-11-02,-0.1258081081391669,-0.6197331347252238,0.7491515552687528,Kevin Garnett,5
30,2000-11-03,0.8373160175198697,-0.30154370501609556,-0.1393087347534019,Paul Pierce,13
31,2000-11-03,0.9443298092597627,-0.9379225644343522,0.9712666277742914,Chris Webber,4
32,2000-11-03,-0.018794316399273953,-0.9379225644343522,-0.5835388797644793,Jerry Stackhouse,14
33,2000-11-03,-2.0520563594572403,-0.9379225644343522,-0.5835388797644793,Anthony Mason,16
34,2000-11-03,1.1583573927395485,-0.9379225644343522,-0.8056539522700179,Vince Carter,12
35,2000-11-03,-0.6608770668386317,0.016645724693032767,-0.3614238072589406,Tracy McGrady,6
36,2000-11-03,0.7303022257799767,-0.30154370501609556,0.08280633775213675,Allen Iverson,1
37,2000-11-04,-1.0889322337982035,-1.2561119941434804,0.30492141025767544,David Robinson,10
38,2000-11-04,-0.6608770668386317,-0.6197331347252238,1.1933817002798301,Tim Duncan,2
39,2000-11-04,0.6232884340400838,-0.30154370501609556,0.9712666277742914,Kevin Garnett,5
40,2000-11-04,1.3723849762193345,-0.6197331347252238,0.5270364827632141,Karl Malone,7
41,2000-11-04,-1.0889322337982035,0.3348351544021611,-0.5835388797644793,Ray Allen,11
42,2000-11-04,-0.5538632750987388,-0.9379225644343522,-0.8056539522700179,Jerry Stackhouse,14
43,2000-11-04,0.08821947534061901,-0.9379225644343522,-0.1393087347534019,Allen Iverson,1
44,2000-11-04,-0.8749046503184176,1.289403443529546,-1.471999169786634,John Stockton,17
45,2000-11-04,-0.7678908585785247,-0.6197331347252238,-0.1393087347534019,Chris Webber,4
46,2000-11-04,-1.3029598172779895,-0.9379225644343522,0.9712666277742914,Anthony Mason,16
47,2000-11-04,-0.018794316399273953,1.6075928732386744,-0.1393087347534019,Jason Kidd,8
48,2000-11-04,-0.23282189987905988,-0.9379225644343522,-1.0277690247755566,Michael Finley,15
49,2000-11-04,-1.3029598172779895,-0.30154370501609556,-0.8056539522700179,Paul Pierce,13
50,2000-11-04,-0.018794316399273953,-0.9379225644343522,-0.5835388797644793,Kobe Bryant,9
51,2000-11-04,1.2653711844794415,-0.9379225644343522,0.08280633775213675,Vince Carter,12
52,2000-11-05,-0.4468494833588458,1.289403443529546,-0.8056539522700179,Jason Kidd,8
53,2000-11-05,-0.1258081081391669,0.3348351544021611,-0.5835388797644793,Kobe Bryant,9
54,2000-11-06,-0.018794316399273953,0.016645724693032767,1.6376118452909074,Karl Malone,7
55,2000-11-06,0.4092608505602979,-0.30154370501609556,-0.3614238072589406,Michael Finley,15
56,2000-11-06,0.9443298092597627,-0.30154370501609556,-0.3614238072589406,Tracy McGrady,6
57,2000-11-06,0.7303022257799767,0.3348351544021611,-0.5835388797644793,Chris Webber,4
58,2000-11-06,-0.9819184420583106,0.9712140138204177,-0.8056539522700179,John Stockton,17
59,2000-11-06,-0.018794316399273953,0.016645724693032767,0.30492141025767544,Kevin Garnett,5
60,2000-11-07,-1.3029598172779895,-0.6197331347252238,-1.0277690247755566,Paul Pierce,13
61,2000-11-07,-1.1959460255380965,-1.2561119941434804,-1.0277690247755566,David Robinson,10
62,2000-11-07,-0.4468494833588458,-1.2561119941434804,0.5270364827632141,Tim Duncan,2
63,2000-11-07,-0.23282189987905988,0.016645724693032767,-0.1393087347534019,Ray Allen,11
64,2000-11-07,0.08821947534061901,-1.5743014238526087,-1.2498840972810952,Vince Carter,12
65,2000-11-07,-1.3029598172779895,1.9257823029478027,0.30492141025767544,Jason Kidd,8
66,2000-11-07,-0.7678908585785247,-0.6197331347252238,-1.0277690247755566,Kobe Bryant,9
67,2000-11-08,0.9443298092597627,0.6530245841112894,0.5270364827632141,Karl Malone,7
68,2000-11-08,-1.3029598172779895,-1.2561119941434804,-0.5835388797644793,Michael Finley,15
69,2000-11-08,-0.6608770668386317,-1.2561119941434804,-0.1393087347534019,David Robinson,10
70,2000-11-08,0.6232884340400838,0.9712140138204177,-1.2498840972810952,Allen Iverson,1
71,2000-11-08,-1.1959460255380965,1.289403443529546,-1.0277690247755566,John Stockton,17
72,2000-11-08,0.5162746423001908,-1.2561119941434804,0.30492141025767544,Chris Webber,4
73,2000-11-08,-1.4099736090178825,-0.6197331347252238,-0.1393087347534019,Anthony Mason,16
74,2000-11-08,1.0513436009996557,0.9712140138204177,-1.0277690247755566,Kobe Bryant,9
75,2000-11-08,-0.5538632750987388,-1.2561119941434804,-0.5835388797644793,Ray Allen,11
76,2000-11-08,0.4092608505602979,0.016645724693032767,1.8597269177964464,Kevin Garnett,5
77,2000-11-08,-0.8749046503184176,-0.6197331347252238,-0.1393087347534019,Tracy McGrady,6
78,2000-11-08,-0.018794316399273953,-0.6197331347252238,2.081841990301985,Tim Duncan,2
79,2000-11-08,1.4793987679592275,-0.6197331347252238,-1.0277690247755566,Jerry Stackhouse,14
