,DATE,PTS,AST,TRB,Player,Position
2318,2002-03-20,0.6232884340400838,1.9257823029478027,0.08280633775213675,Jason Kidd,2
2319,2002-03-21,-1.6240011924976683,-1.5743014238526087,1.4154967727853687,Ben Wallace,10
2320,2002-03-21,1.0513436009996557,0.016645724693032767,1.4154967727853687,Tim Duncan,1
2321,2002-03-21,0.08821947534061901,0.6530245841112894,-1.2498840972810952,Jerry Stackhouse,15
2322,2002-03-21,0.3022470588204049,0.3348351544021611,1.4154967727853687,Kevin Garnett,12
2323,2002-03-21,-1.1959460255380965,-0.30154370501609556,-0.8056539522700179,Michael Jordan,13
2324,2002-03-21,0.7303022257799767,-0.30154370501609556,1.4154967727853687,Dirk Nowitzki,8
2325,2002-03-21,-0.23282189987905988,0.016645724693032767,-0.3614238072589406,Chris Webber,7
2326,2002-03-21,-1.1959460255380965,-0.9379225644343522,-1.471999169786634,Mike Bibby,16
2327,2002-03-21,0.6232884340400838,0.6530245841112894,-1.471999169786634,Steve Nash,14
2328,2002-03-21,0.8373160175198697,-0.30154370501609556,1.8597269177964464,Elton Brand,17
2329,2002-03-22,-0.4468494833588458,0.6530245841112894,-0.1393087347534019,Kobe Bryant,5
2330,2002-03-22,-0.018794316399273953,-0.6197331347252238,-1.2498840972810952,Allen Iverson,9
2331,2002-03-22,-1.1959460255380965,-1.2561119941434804,-0.8056539522700179,Tracy McGrady,4
2332,2002-03-22,-2.1590701511971333,-0.6197331347252238,0.7491515552687528,Ben Wallace,10
2333,2002-03-22,-0.1258081081391669,0.3348351544021611,-0.8056539522700179,Jerry Stackhouse,15
2334,2002-03-22,-0.23282189987905988,1.289403443529546,-0.8056539522700179,Gary Payton,6
2335,2002-03-22,-0.5538632750987388,3.198540021784316,0.08280633775213675,Jason Kidd,2
2336,2002-03-22,0.4092608505602979,0.6530245841112894,0.08280633775213675,Paul Pierce,11
2337,2002-03-23,0.08821947534061901,-0.30154370501609556,0.5270364827632141,Kevin Garnett,12
2338,2002-03-23,0.19523326708051197,-0.6197331347252238,-0.1393087347534019,Dirk Nowitzki,8
2339,2002-03-23,0.08821947534061901,-1.5743014238526087,0.7491515552687528,Tim Duncan,1
2340,2002-03-23,-1.0889322337982035,0.6530245841112894,-0.8056539522700179,Gary Payton,6
2341,2002-03-23,-0.9819184420583106,0.016645724693032767,-1.471999169786634,Steve Nash,14
2342,2002-03-23,-0.6608770668386317,0.016645724693032767,1.4154967727853687,Elton Brand,17
2343,2002-03-24,-0.9819184420583106,-1.5743014238526087,4.52510778786291,Ben Wallace,10
2344,2002-03-24,-0.018794316399273953,3.198540021784316,-0.8056539522700179,Jason Kidd,2
2345,2002-03-24,0.19523326708051197,0.016645724693032767,0.7491515552687528,Chris Webber,7
2346,2002-03-24,-0.8749046503184176,-0.9379225644343522,-1.0277690247755566,Michael Jordan,13
2347,2002-03-24,1.3723849762193345,-0.6197331347252238,-0.1393087347534019,Paul Pierce,11
2348,2002-03-24,0.8373160175198697,0.9712140138204177,0.08280633775213675,Jerry Stackhouse,15
2349,2002-03-24,-0.8749046503184176,0.016645724693032767,-1.471999169786634,Mike Bibby,16
2350,2002-03-24,0.7303022257799767,-0.30154370501609556,-0.8056539522700179,Kobe Bryant,5
2351,2002-03-25,1.1583573927395485,0.016645724693032767,1.1933817002798301,Tim Duncan,1
2352,2002-03-25,-0.33983569161895283,0.016645724693032767,-0.5835388797644793,Paul Pierce,11
2353,2002-03-25,0.19523326708051197,0.6530245841112894,-1.471999169786634,Gary Payton,6
2354,2002-03-25,-0.7678908585785247,-0.9379225644343522,0.5270364827632141,Elton Brand,17
2355,2002-03-26,-1.1959460255380965,0.016645724693032767,-0.3614238072589406,Mike Bibby,16
2356,2002-03-26,-2.0520563594572403,-0.6197331347252238,-0.8056539522700179,Elton Brand,17
2357,2002-03-26,-1.0889322337982035,0.3348351544021611,-1.0277690247755566,Jerry Stackhouse,15
2358,2002-03-26,-0.23282189987905988,0.6530245841112894,0.7491515552687528,Tracy McGrady,4
2359,2002-03-26,-1.4099736090178825,0.3348351544021611,-1.0277690247755566,Michael Jordan,13
2360,2002-03-26,0.3022470588204049,2.5621611623660594,-1.2498840972810952,Steve Nash,14
2361,2002-03-26,-1.3029598172779895,-0.6197331347252238,-1.0277690247755566,Jason Kidd,2
2362,2002-03-26,-0.5538632750987388,-0.30154370501609556,1.4154967727853687,Dirk Nowitzki,8
2363,2002-03-26,1.3723849762193345,-1.2561119941434804,1.1933817002798301,Chris Webber,7
2364,2002-03-26,0.9443298092597627,-0.9379225644343522,-0.1393087347534019,Kevin Garnett,12
2365,2002-03-26,-0.5538632750987388,-0.6197331347252238,-0.1393087347534019,Kobe Bryant,5
2366,2002-03-26,-1.7310149842375613,-1.2561119941434804,1.4154967727853687,Ben Wallace,10
2367,2002-03-27,0.3022470588204049,0.6530245841112894,-0.1393087347534019,Tracy McGrady,4
2368,2002-03-27,1.4793987679592275,-0.6197331347252238,-0.8056539522700179,Kobe Bryant,5
2369,2002-03-27,-1.0889322337982035,-1.2561119941434804,2.748187207818601,Ben Wallace,10
2370,2002-03-27,-0.4468494833588458,-0.9379225644343522,-1.0277690247755566,Jerry Stackhouse,15
2371,2002-03-27,-0.8749046503184176,1.6075928732386744,0.08280633775213675,Jason Kidd,2
2372,2002-03-27,1.2653711844794415,-0.6197331347252238,0.7491515552687528,Tim Duncan,1
2373,2002-03-27,1.1583573927395485,-0.30154370501609556,0.5270364827632141,Paul Pierce,11
2374,2002-03-27,1.0513436009996557,1.289403443529546,-0.8056539522700179,Gary Payton,6
2375,2002-03-28,-0.23282189987905988,0.016645724693032767,2.3039570628075237,Kevin Garnett,12
2376,2002-03-28,1.2653711844794415,-0.9379225644343522,0.08280633775213675,Dirk Nowitzki,8
2377,2002-03-28,-1.6240011924976683,0.9712140138204177,-1.0277690247755566,Steve Nash,14
2378,2002-03-28,-0.9819184420583106,0.016645724693032767,-0.8056539522700179,Mike Bibby,16
2379,2002-03-28,-0.33983569161895283,0.3348351544021611,0.30492141025767544,Chris Webber,7
2380,2002-03-29,0.7303022257799767,0.016645724693032767,0.30492141025767544,Tracy McGrady,4
2381,2002-03-29,-1.5169874007577755,1.289403443529546,-1.2498840972810952,Steve Nash,14
2382,2002-03-29,-1.8380287759774543,-1.5743014238526087,2.9703022803241397,Ben Wallace,10
2383,2002-03-29,-1.3029598172779895,-0.6197331347252238,-1.471999169786634,Mike Bibby,16
2384,2002-03-29,0.3022470588204049,-0.30154370501609556,1.8597269177964464,Tim Duncan,1
2385,2002-03-29,-0.33983569161895283,-1.5743014238526087,-0.8056539522700179,Paul Pierce,11
2386,2002-03-29,-0.1258081081391669,-0.30154370501609556,-0.3614238072589406,Jerry Stackhouse,15
2387,2002-03-29,1.2653711844794415,-1.2561119941434804,-1.0277690247755566,Michael Jordan,13
2388,2002-03-29,-1.0889322337982035,0.016645724693032767,1.6376118452909074,Kevin Garnett,12
2389,2002-03-29,-0.4468494833588458,0.016645724693032767,0.5270364827632141,Dirk Nowitzki,8
2390,2002-03-29,0.08821947534061901,0.3348351544021611,0.7491515552687528,Elton Brand,17
2391,2002-03-29,0.08821947534061901,0.3348351544021611,0.9712666277742914,Chris Webber,7
2392,2002-03-29,1.2653711844794415,0.3348351544021611,-0.1393087347534019,Kobe Bryant,5
2393,2002-03-29,-0.33983569161895283,0.9712140138204177,-0.5835388797644793,Gary Payton,6
2394,2002-03-30,-0.4468494833588458,-0.6197331347252238,-0.8056539522700179,Gary Payton,6
2395,2002-03-30,-0.5538632750987388,-1.2561119941434804,0.7491515552687528,Elton Brand,17
2396,2002-03-30,-0.33983569161895283,3.8349188812025727,-0.8056539522700179,Jason Kidd,2
2397,2002-03-31,-1.3029598172779895,0.016645724693032767,-1.0277690247755566,Michael Jordan,13
2398,2002-03-31,-1.4099736090178825,1.6075928732386744,-0.8056539522700179,Jason Kidd,2
2399,2002-03-31,-0.018794316399273953,-0.30154370501609556,-1.2498840972810952,Jerry Stackhouse,15
2400,2002-03-31,1.0513436009996557,0.016645724693032767,-0.1393087347534019,Paul Pierce,11
2401,2002-03-31,0.08821947534061901,-1.2561119941434804,0.9712666277742914,Dirk Nowitzki,8
2402,2002-03-31,0.08821947534061901,0.3348351544021611,3.192417352829678,Kevin Garnett,12
2403,2002-03-31,-1.6240011924976683,0.016645724693032767,-1.471999169786634,Mike Bibby,16
2404,2002-03-31,0.4092608505602979,0.9712140138204177,0.7491515552687528,Tim Duncan,1
2405,2002-03-31,0.9443298092597627,-0.6197331347252238,0.30492141025767544,Kobe Bryant,5
2406,2002-03-31,0.9443298092597627,0.6530245841112894,0.30492141025767544,Tracy McGrady,4
2407,2002-03-31,0.7303022257799767,0.6530245841112894,0.9712666277742914,Chris Webber,7
2408,2002-03-31,-1.6240011924976683,-1.2561119941434804,2.3039570628075237,Ben Wallace,10
2409,2002-03-31,-0.018794316399273953,2.243971732656931,-0.8056539522700179,Steve Nash,14
2410,2002-04-02,-2.1590701511971333,-0.6197331347252238,-1.0277690247755566,Michael Jordan,13
2411,2002-04-02,0.3022470588204049,1.9257823029478027,0.5270364827632141,Gary Payton,6
2412,2002-04-02,-0.8749046503184176,-0.30154370501609556,-0.1393087347534019,Jerry Stackhouse,15
2413,2002-04-02,-0.4468494833588458,0.016645724693032767,0.7491515552687528,Chris Webber,7
2414,2002-04-02,-0.8749046503184176,0.3348351544021611,-1.2498840972810952,Kobe Bryant,5
2415,2002-04-02,-1.0889322337982035,0.3348351544021611,-1.2498840972810952,Mike Bibby,16
2416,2002-04-02,-1.9450425677173473,-0.9379225644343522,1.8597269177964464,Ben Wallace,10
2417,2002-04-02,0.7303022257799767,-0.6197331347252238,-0.5835388797644793,Paul Pierce,11
2418,2002-04-03,-1.0889322337982035,-0.6197331347252238,-0.8056539522700179,Jerry Stackhouse,15
2419,2002-04-03,0.6232884340400838,0.9712140138204177,-0.1393087347534019,Chris Webber,7
2420,2002-04-03,-0.7678908585785247,-0.30154370501609556,-1.2498840972810952,Mike Bibby,16
2421,2002-04-03,0.19523326708051197,-1.5743014238526087,0.7491515552687528,Elton Brand,17
2422,2002-04-03,-0.9819184420583106,1.9257823029478027,-0.3614238072589406,Jason Kidd,2
2423,2002-04-03,1.1583573927395485,-0.6197331347252238,-0.8056539522700179,Kobe Bryant,5
2424,2002-04-03,-1.0889322337982035,-0.30154370501609556,0.7491515552687528,Ben Wallace,10
2425,2002-04-03,0.8373160175198697,1.289403443529546,2.3039570628075237,Tim Duncan,1
2426,2002-04-03,0.19523326708051197,0.6530245841112894,0.08280633775213675,Gary Payton,6
2427,2002-04-03,-0.4468494833588458,0.9712140138204177,2.081841990301985,Kevin Garnett,12
2428,2002-04-04,-0.9819184420583106,-0.6197331347252238,0.30492141025767544,Elton Brand,17
2429,2002-04-04,0.3022470588204049,-0.9379225644343522,0.08280633775213675,Dirk Nowitzki,8
2430,2002-04-04,-0.1258081081391669,0.6530245841112894,2.3039570628075237,Kevin Garnett,12
2431,2002-04-04,-1.1959460255380965,0.6530245841112894,-1.471999169786634,Steve Nash,14
2432,2002-04-04,-0.018794316399273953,0.016645724693032767,0.7491515552687528,Tim Duncan,1
2433,2002-04-04,1.3723849762193345,0.6530245841112894,1.4154967727853687,Tracy McGrady,4
