Player,Rank,Pts Won,Pts Max,Share,year
Allen Iverson,1,1121.0,1240,0.904,2001
Tim Duncan,2,706.0,1240,0.569,2001
Shaquille O'Neal,3,578.0,1240,0.466,2001
Chris Webber,4,521.0,1240,0.42,2001
Kevin Garnett,5,151.0,1240,0.122,2001
Tracy McGrady,6,64.0,1240,0.052,2001
Karl Malone,7,21.0,1240,0.017,2001
Jason Kidd,8,18.0,1240,0.015,2001
Kobe Bryant,9,11.0,1240,0.009,2001
David Robinson,10,8.0,1240,0.006,2001
Ray Allen,11T,7.0,1240,0.006,2001
Vince Carter,11T,7.0,1240,0.006,2001
Paul Pierce,13,5.0,1240,0.004,2001
Jerry Stackhouse,14,3.0,1240,0.002,2001
Michael Finley,15T,1.0,1240,0.001,2001
Anthony Mason,15T,1.0,1240,0.001,2001
John Stockton,15T,1.0,1240,0.001,2001
Tim Duncan,1,954.0,1260,0.757,2002
Jason Kidd,2,897.0,1260,0.712,2002
Shaquille O'Neal,3,696.0,1260,0.552,2002
Tracy McGrady,4,390.0,1260,0.31,2002
Kobe Bryant,5,98.0,1260,0.078,2002
Gary Payton,6,54.0,1260,0.043,2002
Chris Webber,7,37.0,1260,0.029,2002
Dirk Nowitzki,8,31.0,1260,0.025,2002
Allen Iverson,9,29.0,1260,0.023,2002
Ben Wallace,10,24.0,1260,0.019,2002
Paul Pierce,11,22.0,1260,0.017,2002
Kevin Garnett,12,17.0,1260,0.013,2002
Michael Jordan,13,16.0,1260,0.013,2002
Steve Nash,14,5.0,1260,0.004,2002
Jerry Stackhouse,15,3.0,1260,0.002,2002
Mike Bibby,16T,1.0,1260,0.001,2002
Elton Brand,16T,1.0,1260,0.001,2002
Peja Stojaković,16T,1.0,1260,0.001,2002
Tim Duncan,1,962.0,1190,0.808,2003
Kevin Garnett,2,871.0,1190,0.732,2003
Kobe Bryant,3,496.0,1190,0.417,2003
Tracy McGrady,4,427.0,1190,0.359,2003
Shaquille O'Neal,5,126.0,1190,0.106,2003
Allen Iverson,6,83.0,1190,0.07,2003
Dirk Nowitzki,7,43.0,1190,0.036,2003
Ben Wallace,8,33.0,1190,0.028,2003
Jason Kidd,9,31.0,1190,0.026,2003
Chris Webber,10,19.0,1190,0.016,2003
Jamal Mashburn,11T,1.0,1190,0.001,2003
Steve Nash,11T,1.0,1190,0.001,2003
Paul Pierce,11T,1.0,1190,0.001,2003
Kevin Garnett,1,1219.0,1230,0.991,2004
Tim Duncan,2,716.0,1230,0.582,2004
Jermaine O'Neal,3,523.0,1230,0.425,2004
Peja Stojaković,4,281.0,1230,0.228,2004
Kobe Bryant,5,212.0,1230,0.172,2004
Shaquille O'Neal,6,178.0,1230,0.145,2004
Ben Wallace,7,24.0,1230,0.02,2004
Jason Kidd,8,17.0,1230,0.014,2004
LeBron James,9,11.0,1230,0.009,2004
Sam Cassell,10T,4.0,1230,0.003,2004
Baron Davis,10T,4.0,1230,0.003,2004
Dirk Nowitzki,10T,4.0,1230,0.003,2004
Andrei Kirilenko,13,2.0,1230,0.002,2004
Carmelo Anthony,14T,1.0,1230,0.001,2004
Yao Ming,14T,1.0,1230,0.001,2004
Michael Redd,14T,1.0,1230,0.001,2004
Steve Nash,1,1066.0,1270,0.839,2005
Shaquille O'Neal,2,1032.0,1270,0.813,2005
Dirk Nowitzki,3,349.0,1270,0.275,2005
Tim Duncan,4,328.0,1270,0.258,2005
Allen Iverson,5,240.0,1270,0.189,2005
LeBron James,6,93.0,1270,0.073,2005
Tracy McGrady,7,44.0,1270,0.035,2005
Dwyane Wade,8,43.0,1270,0.034,2005
Amar'e Stoudemire,9T,41.0,1270,0.032,2005
Ray Allen,9T,41.0,1270,0.032,2005
Kevin Garnett,11,15.0,1270,0.012,2005
Gilbert Arenas,12,4.0,1270,0.003,2005
Vince Carter,13,3.0,1270,0.002,2005
P.J. Brown,14T,1.0,1270,0.001,2005
Marcus Camby,14T,1.0,1270,0.001,2005
Shawn Marion,14T,1.0,1270,0.001,2005
Steve Nash,1,924.0,1250,0.739,2006
LeBron James,2,688.0,1250,0.55,2006
Dirk Nowitzki,3,544.0,1250,0.435,2006
Kobe Bryant,4,483.0,1250,0.386,2006
Chauncey Billups,5,430.0,1250,0.344,2006
Dwyane Wade,6,87.0,1250,0.07,2006
Elton Brand,7,50.0,1250,0.04,2006
Tim Duncan,8,33.0,1250,0.026,2006
Tony Parker,9,9.0,1250,0.007,2006
Allen Iverson,10T,1.0,1250,0.001,2006
Shawn Marion,10T,1.0,1250,0.001,2006
Dirk Nowitzki,1,1138.0,1290,0.882,2007
Steve Nash,2,1013.0,1290,0.785,2007
Kobe Bryant,3,521.0,1290,0.404,2007
Tim Duncan,4,286.0,1290,0.222,2007
LeBron James,5,183.0,1290,0.142,2007
Tracy McGrady,6,110.0,1290,0.085,2007
Chris Bosh,7,43.0,1290,0.033,2007
Gilbert Arenas,8,31.0,1290,0.024,2007
Carlos Boozer,9T,7.0,1290,0.005,2007
Kevin Garnett,9T,7.0,1290,0.005,2007
Chauncey Billups,11,4.0,1290,0.003,2007
Shaquille O'Neal,12T,3.0,1290,0.002,2007
Dwyane Wade,12T,3.0,1290,0.002,2007
Amar'e Stoudemire,14,2.0,1290,0.002,2007
Carmelo Anthony,15T,1.0,1290,0.001,2007
Baron Davis,15T,1.0,1290,0.001,2007
Tony Parker,15T,1.0,1290,0.001,2007
Kobe Bryant,1,1100.0,1260,0.873,2008
Chris Paul,2,894.0,1260,0.71,2008
Kevin Garnett,3,670.0,1260,0.532,2008
LeBron James,4,438.0,1260,0.348,2008
Dwight Howard,5,60.0,1260,0.048,2008
Amar'e Stoudemire,6,27.0,1260,0.021,2008
Tim Duncan,7,25.0,1260,0.02,2008
Tracy McGrady,8,19.0,1260,0.015,2008
Steve Nash,9,18.0,1260,0.014,2008
Manu Ginóbili,10,9.0,1260,0.007,2008
Dirk Nowitzki,11,5.0,1260,0.004,2008
Deron Williams,12,4.0,1260,0.003,2008
Carmelo Anthony,13,3.0,1260,0.002,2008
