DATE,PTS,AST,TRB,Player,Position
2009-10-27,38,8,4,LeBron James,1
2009-10-28,23,12,11,LeBron James,1
2009-10-30,24,6,9,LeBron James,1
2009-10-31,14,9,7,LeBron James,1
2009-11-03,27,6,8,LeBron James,1
2009-11-05,25,6,7,LeBron James,1
2009-11-06,33,9,8,LeBron James,1
2009-11-11,36,4,8,LeBron James,1
2009-11-12,34,7,4,LeBron James,1
2009-11-14,21,9,6,LeBron James,1
2009-11-17,31,12,5,LeBron James,1
2009-11-18,34,9,2,LeBron James,1
2009-11-20,40,7,9,LeBron James,1
2009-11-21,32,9,7,LeBron James,1
2009-11-25,34,7,8,LeBron James,1
2009-11-27,25,4,6,LeBron James,1
2009-11-28,25,12,5,LeBron James,1
2009-12-02,12,10,8,LeBron James,1
2009-12-04,23,11,6,LeBron James,1
2009-12-06,14,10,5,LeBron James,1
2009-12-08,43,6,13,LeBron James,1
2009-12-09,27,7,6,LeBron James,1
2009-12-11,33,7,7,LeBron James,1
2009-12-13,44,6,7,LeBron James,1
2009-12-15,23,7,6,LeBron James,1
2009-12-16,36,7,6,LeBron James,1
2009-12-18,26,8,10,LeBron James,1
2009-12-20,25,6,3,LeBron James,1
2009-12-21,29,4,6,LeBron James,1
2009-12-23,34,10,16,LeBron James,1
2009-12-25,26,9,4,LeBron James,1
2009-12-27,29,6,5,LeBron James,1
2009-12-29,14,10,8,LeBron James,1
2009-12-30,48,6,10,LeBron James,1
2010-01-02,28,7,9,LeBron James,1
2010-01-03,29,6,7,LeBron James,1
2010-01-06,23,8,7,LeBron James,1
2010-01-08,35,7,6,LeBron James,1
2010-01-10,41,8,10,LeBron James,1
2010-01-11,37,11,8,LeBron James,1
2010-01-14,36,6,9,LeBron James,1
2010-01-16,32,4,4,LeBron James,1
2010-01-19,28,11,9,LeBron James,1
2010-01-21,37,9,5,LeBron James,1
2010-01-23,37,12,9,LeBron James,1
2010-01-25,32,4,9,LeBron James,1
2010-01-27,12,11,6,LeBron James,1
2010-01-29,22,13,9,LeBron James,1
2010-01-31,32,11,3,LeBron James,1
2010-02-02,22,15,6,LeBron James,1
2010-02-04,36,8,7,LeBron James,1
2010-02-06,47,8,8,LeBron James,1
2010-02-09,32,11,3,LeBron James,1
2010-02-11,32,13,8,LeBron James,1
2010-02-18,43,15,13,LeBron James,1
2010-02-19,22,9,3,LeBron James,1
2010-02-21,33,6,9,LeBron James,1
2010-02-23,20,13,5,LeBron James,1
2010-02-25,36,9,7,LeBron James,1
2010-02-26,36,9,6,LeBron James,1
2010-03-01,22,7,7,LeBron James,1
2010-03-03,26,14,7,LeBron James,1
2010-03-05,40,6,13,LeBron James,1
2010-03-12,23,10,6,LeBron James,1
2010-03-14,30,7,8,LeBron James,1
2010-03-16,29,12,12,LeBron James,1
2010-03-17,32,9,9,LeBron James,1
2010-03-19,29,7,11,LeBron James,1
2010-03-21,15,7,3,LeBron James,1
2010-03-24,38,9,6,LeBron James,1
2010-03-26,27,10,5,LeBron James,1
2010-03-28,34,8,7,LeBron James,1
2010-03-31,23,7,9,LeBron James,1
2010-04-02,27,6,13,LeBron James,1
2010-04-04,42,9,7,LeBron James,1
2010-04-06,19,13,6,LeBron James,1
2009-10-28,25,4,11,Kevin Durant,2
2009-10-30,25,1,12,Kevin Durant,2
2009-11-01,16,0,5,Kevin Durant,2
2009-11-03,28,5,4,Kevin Durant,2
2009-11-06,27,1,9,Kevin Durant,2
2009-11-08,28,5,4,Kevin Durant,2
2009-11-10,37,2,5,Kevin Durant,2
2009-11-11,30,4,10,Kevin Durant,2
2009-11-14,25,1,5,Kevin Durant,2
2009-11-15,40,1,8,Kevin Durant,2
2009-11-17,32,5,9,Kevin Durant,2
2009-11-18,12,1,3,Kevin Durant,2
2009-11-20,35,6,6,Kevin Durant,2
2009-11-22,19,2,6,Kevin Durant,2
2009-11-24,28,8,5,Kevin Durant,2
2009-11-27,33,5,12,Kevin Durant,2
2009-11-29,25,6,9,Kevin Durant,2
2009-12-02,33,2,5,Kevin Durant,2
2009-12-04,36,0,5,Kevin Durant,2
2009-12-07,28,4,9,Kevin Durant,2
2009-12-11,32,4,10,Kevin Durant,2
2009-12-13,29,2,5,Kevin Durant,2
2009-12-14,32,3,10,Kevin Durant,2
2009-12-16,12,2,4,Kevin Durant,2
2009-12-18,27,1,6,Kevin Durant,2
2009-12-19,13,2,6,Kevin Durant,2
2009-12-22,30,4,3,Kevin Durant,2
2009-12-23,38,3,6,Kevin Durant,2
2009-12-26,30,4,6,Kevin Durant,2
2009-12-28,40,2,5,Kevin Durant,2
2009-12-29,35,4,11,Kevin Durant,2
2009-12-31,31,5,9,Kevin Durant,2
2010-01-02,31,0,5,Kevin Durant,2
2010-01-04,25,3,8,Kevin Durant,2
2010-01-06,27,3,5,Kevin Durant,2
2010-01-09,40,3,12,Kevin Durant,2
2010-01-11,30,3,5,Kevin Durant,2
2010-01-13,35,3,5,Kevin Durant,2
2010-01-15,30,0,13,Kevin Durant,2
2010-01-16,36,3,10,Kevin Durant,2
2010-01-18,29,5,5,Kevin Durant,2
2010-01-20,31,3,10,Kevin Durant,2
2010-01-22,30,0,8,Kevin Durant,2
2010-01-23,34,3,10,Kevin Durant,2
2010-01-27,28,5,11,Kevin Durant,2
2010-01-29,30,4,4,Kevin Durant,2
2010-01-31,45,2,11,Kevin Durant,2
2010-02-02,33,3,11,Kevin Durant,2
2010-02-03,30,2,3,Kevin Durant,2
2010-02-06,29,4,8,Kevin Durant,2
2010-02-09,33,1,11,Kevin Durant,2
2010-02-16,25,2,14,Kevin Durant,2
2010-02-20,36,3,5,Kevin Durant,2
2010-02-21,32,2,6,Kevin Durant,2
2010-02-23,36,3,8,Kevin Durant,2
2010-02-24,21,3,12,Kevin Durant,2
2010-02-26,25,3,9,Kevin Durant,2
2010-02-28,29,1,6,Kevin Durant,2
2010-03-02,39,2,10,Kevin Durant,2
2010-03-03,19,0,4,Kevin Durant,2
