DATE,PTS,AST,BLK,STL,TRB,Player,Position,Share
2010-10-27,28,6,1,0,4,Derrick Rose,1,0.977
2010-10-30,39,7,2,2,6,Derrick Rose,1,0.977
2010-11-01,16,13,0,1,5,Derrick Rose,1,0.977
2010-11-04,24,14,0,1,1,Derrick Rose,1,0.977
2010-11-05,18,9,0,0,5,Derrick Rose,1,0.977
2010-11-08,18,6,1,1,2,Derrick Rose,1,0.977
2010-11-11,22,13,1,1,3,Derrick Rose,1,0.977
2010-11-13,24,8,1,2,4,Derrick Rose,1,0.977
2010-11-16,33,7,0,3,3,Derrick Rose,1,0.977
2010-11-17,33,4,0,0,3,Derrick Rose,1,0.977
2010-11-19,22,6,0,1,4,Derrick Rose,1,0.977
2010-11-23,30,8,1,1,5,Derrick Rose,1,0.977
2010-11-24,35,7,1,0,12,Derrick Rose,1,0.977
2010-11-27,30,7,0,1,7,Derrick Rose,1,0.977
2010-12-01,15,4,1,0,0,Derrick Rose,1,0.977
2010-12-03,20,8,0,0,3,Derrick Rose,1,0.977
2010-12-04,30,11,1,5,7,Derrick Rose,1,0.977
2010-12-06,11,9,1,2,4,Derrick Rose,1,0.977
2010-12-08,29,8,0,0,4,Derrick Rose,1,0.977
2010-12-10,29,9,0,0,5,Derrick Rose,1,0.977
2010-12-11,21,7,1,0,3,Derrick Rose,1,0.977
2010-12-13,17,12,0,1,6,Derrick Rose,1,0.977
2010-12-15,6,11,0,2,3,Derrick Rose,1,0.977
2010-12-18,34,8,2,0,6,Derrick Rose,1,0.977
2010-12-21,22,12,0,1,5,Derrick Rose,1,0.977
2010-12-22,25,5,3,1,5,Derrick Rose,1,0.977
2010-12-25,25,8,0,6,7,Derrick Rose,1,0.977
2010-12-26,23,8,0,2,12,Derrick Rose,1,0.977
2010-12-28,18,12,0,1,6,Derrick Rose,1,0.977
2010-12-31,19,9,0,0,4,Derrick Rose,1,0.977
2011-01-01,28,11,1,0,1,Derrick Rose,1,0.977
2011-01-04,19,6,0,0,1,Derrick Rose,1,0.977
2011-01-05,21,1,0,0,1,Derrick Rose,1,0.977
2011-01-07,27,9,0,3,4,Derrick Rose,1,0.977
2011-01-08,36,2,0,0,5,Derrick Rose,1,0.977
2011-01-10,29,7,1,2,5,Derrick Rose,1,0.977
2011-01-12,17,7,1,1,2,Derrick Rose,1,0.977
2011-01-14,29,5,2,0,10,Derrick Rose,1,0.977
2011-01-15,34,8,3,0,4,Derrick Rose,1,0.977
2011-01-17,22,12,1,1,10,Derrick Rose,1,0.977
2011-01-18,33,4,1,0,5,Derrick Rose,1,0.977
2011-01-20,26,9,2,0,7,Derrick Rose,1,0.977
2011-01-22,24,8,3,4,2,Derrick Rose,1,0.977
2011-01-24,21,10,1,1,2,Derrick Rose,1,0.977
2011-01-28,22,12,0,0,6,Derrick Rose,1,0.977
2011-01-29,20,7,0,1,3,Derrick Rose,1,0.977
2011-02-02,32,11,1,1,3,Derrick Rose,1,0.977
2011-02-05,14,10,0,1,3,Derrick Rose,1,0.977
2011-02-07,36,6,0,0,1,Derrick Rose,1,0.977
2011-02-09,29,7,0,1,3,Derrick Rose,1,0.977
2011-02-12,23,6,0,1,4,Derrick Rose,1,0.977
2011-02-15,18,13,0,1,3,Derrick Rose,1,0.977
2011-02-17,42,8,1,0,5,Derrick Rose,1,0.977
2011-02-23,32,10,0,1,1,Derrick Rose,1,0.977
2011-02-24,26,6,0,0,5,Derrick Rose,1,0.977
