DATE,PTS,AST,BLK,STL,TRB,Player,Position
2016-10-26,32,9,0,0,12,Russell Westbrook,1
2016-10-28,51,10,0,2,13,Russell Westbrook,1
2016-10-30,33,16,1,1,11,Russell Westbrook,1
2016-11-02,35,5,0,3,6,Russell Westbrook,1
2016-11-03,20,10,2,1,6,Russell Westbrook,1
2016-11-05,28,8,0,3,6,Russell Westbrook,1
2016-11-07,14,11,0,0,5,Russell Westbrook,1
2016-11-09,36,7,2,1,7,Russell Westbrook,1
2016-11-11,29,9,0,1,14,Russell Westbrook,1
2016-11-13,41,16,0,0,12,Russell Westbrook,1
2016-11-14,33,8,0,0,15,Russell Westbrook,1
2016-11-16,30,9,0,2,7,Russell Westbrook,1
2016-11-18,30,13,0,1,10,Russell Westbrook,1
2016-11-20,31,15,0,1,11,Russell Westbrook,1
2016-11-22,34,13,0,2,8,Russell Westbrook,1
2016-11-23,31,9,0,2,11,Russell Westbrook,1
2016-11-25,36,17,1,1,11,Russell Westbrook,1
2016-11-26,17,15,1,1,13,Russell Westbrook,1
2016-11-28,27,14,0,2,17,Russell Westbrook,1
2016-11-30,35,11,0,2,14,Russell Westbrook,1
2016-12-04,28,12,0,1,17,Russell Westbrook,1
2016-12-05,32,12,1,1,13,Russell Westbrook,1
2016-12-09,27,10,0,3,10,Russell Westbrook,1
2016-12-11,37,6,0,2,12,Russell Westbrook,1
2016-12-13,20,6,0,0,6,Russell Westbrook,1
2016-12-14,27,5,0,1,6,Russell Westbrook,1
2016-12-17,26,22,1,2,11,Russell Westbrook,1
2016-12-19,46,7,0,1,11,Russell Westbrook,1
2016-12-21,42,7,0,1,10,Russell Westbrook,1
2016-12-23,45,11,0,1,11,Russell Westbrook,1
2016-12-25,31,15,1,1,7,Russell Westbrook,1
2016-12-27,29,11,0,0,17,Russell Westbrook,1
2016-12-29,21,0,0,2,5,Russell Westbrook,1
2016-12-31,17,14,0,2,12,Russell Westbrook,1
2017-01-02,30,6,0,3,7,Russell Westbrook,1
2017-01-04,33,8,1,2,15,Russell Westbrook,1
2017-01-05,49,5,0,2,8,Russell Westbrook,1
2017-01-07,32,11,0,3,17,Russell Westbrook,1
2017-01-09,21,14,0,1,9,Russell Westbrook,1
2017-01-11,24,12,1,2,13,Russell Westbrook,1
2017-01-13,21,12,0,2,11,Russell Westbrook,1
2017-01-15,36,10,0,4,11,Russell Westbrook,1
2017-01-16,24,4,0,2,5,Russell Westbrook,1
2017-01-18,27,13,2,2,15,Russell Westbrook,1
2017-01-23,38,10,1,4,11,Russell Westbrook,1
2017-01-25,27,10,1,1,12,Russell Westbrook,1
2017-01-26,45,3,0,2,8,Russell Westbrook,1
2017-01-29,20,10,1,1,12,Russell Westbrook,1
2017-01-31,27,14,0,1,6,Russell Westbrook,1
2017-02-01,28,8,1,2,5,Russell Westbrook,1
2017-02-03,38,12,0,3,13,Russell Westbrook,1
2017-02-05,42,8,0,0,4,Russell Westbrook,1
2017-02-06,27,9,2,1,18,Russell Westbrook,1
2017-02-09,29,11,0,4,12,Russell Westbrook,1
2017-02-11,47,8,0,1,11,Russell Westbrook,1
2017-02-13,17,4,0,2,4,Russell Westbrook,1
2017-02-15,38,12,1,3,14,Russell Westbrook,1
2017-02-24,17,17,0,3,18,Russell Westbrook,1
2017-02-26,41,11,0,1,11,Russell Westbrook,1
2017-02-28,43,10,0,0,11,Russell Westbrook,1
2017-03-02,45,4,1,1,7,Russell Westbrook,1
2017-03-03,48,9,0,3,17,Russell Westbrook,1
2017-03-05,29,5,1,2,6,Russell Westbrook,1
2017-03-07,58,9,1,3,3,Russell Westbrook,1
2017-03-09,23,13,0,2,13,Russell Westbrook,1
2017-03-11,33,14,2,2,11,Russell Westbrook,1
2017-03-14,25,19,1,2,12,Russell Westbrook,1
2017-03-16,24,16,0,1,10,Russell Westbrook,1
2017-03-18,28,10,0,4,8,Russell Westbrook,1
2017-03-20,15,7,0,2,8,Russell Westbrook,1
2017-03-22,18,14,2,0,11,Russell Westbrook,1
2017-03-26,39,13,0,0,11,Russell Westbrook,1
2017-03-27,37,10,0,2,13,Russell Westbrook,1
2017-03-29,57,11,0,3,13,Russell Westbrook,1
2017-03-31,32,12,0,0,15,Russell Westbrook,1
2017-04-02,40,10,0,2,13,Russell Westbrook,1
2017-04-04,12,13,0,2,13,Russell Westbrook,1
2017-04-05,45,10,0,4,9,Russell Westbrook,1
2017-04-07,23,8,1,0,12,Russell Westbrook,1
2017-04-09,50,10,0,1,16,Russell Westbrook,1
2017-04-12,5,8,1,0,5,Russell Westbrook,1
2016-10-26,34,17,0,1,7,James Harden,2
2016-10-28,26,8,0,1,7,James Harden,2
2016-10-30,28,8,0,1,7,James Harden,2
2016-11-01,41,15,0,1,7,James Harden,2
2016-11-02,30,15,0,2,6,James Harden,2
2016-11-05,30,11,0,3,9,James Harden,2
2016-11-07,32,15,0,0,5,James Harden,2
2016-11-09,24,15,0,1,12,James Harden,2
2016-11-12,25,13,0,0,11,James Harden,2
2016-11-14,33,9,1,1,7,James Harden,2
2016-11-16,13,13,0,3,7,James Harden,2
2016-11-17,26,14,0,3,12,James Harden,2
2016-11-19,31,10,2,0,4,James Harden,2
2016-11-21,28,11,1,0,8,James Harden,2
2016-11-23,29,15,1,2,6,James Harden,2
2016-11-25,23,10,0,0,9,James Harden,2
2016-11-27,38,10,1,2,2,James Harden,2
2016-11-29,26,7,0,2,5,James Harden,2
2016-12-01,29,13,1,2,15,James Harden,2
2016-12-02,20,9,1,1,7,James Harden,2
2016-12-05,37,7,0,3,8,James Harden,2
2016-12-07,25,7,0,4,6,James Harden,2
2016-12-09,21,12,0,2,9,James Harden,2
2016-12-10,18,17,0,2,9,James Harden,2
2016-12-12,36,11,0,2,8,James Harden,2
2016-12-14,15,14,0,1,11,James Harden,2
2016-12-16,29,13,0,0,11,James Harden,2
2016-12-17,28,13,2,1,9,James Harden,2
2016-12-20,31,7,0,1,10,James Harden,2
2016-12-21,27,14,0,1,5,James Harden,2
2016-12-23,16,17,0,1,7,James Harden,2
2016-12-26,32,12,0,0,5,James Harden,2
2016-12-27,34,11,1,0,5,James Harden,2
2016-12-30,30,10,2,5,13,James Harden,2
2016-12-31,53,17,0,0,16,James Harden,2
2017-01-02,23,10,0,3,10,James Harden,2
2017-01-05,26,12,1,1,8,James Harden,2
2017-01-06,14,10,0,1,6,James Harden,2
2017-01-08,40,11,2,2,10,James Harden,2
2017-01-10,40,10,0,0,15,James Harden,2
2017-01-11,33,12,2,1,6,James Harden,2
2017-01-13,27,9,0,1,3,James Harden,2
2017-01-15,22,11,0,1,12,James Harden,2
2017-01-17,40,10,0,2,12,James Harden,2
2017-01-18,38,8,2,0,6,James Harden,2
2017-01-20,17,11,0,1,6,James Harden,2
2017-01-21,29,10,2,3,6,James Harden,2
2017-01-23,26,12,1,3,8,James Harden,2
2017-01-25,30,12,1,1,6,James Harden,2
